Geração,Iteração,Fitness
0,0,858.909
0,1,839.828
0,2,825.913
0,3,767.082
0,4,789.393
0,5,685.268
0,6,733.276
0,7,870.803
0,8,819.34
0,9,889.924
0,10,740.224
0,11,774.617
0,12,820.716
0,13,678.593
0,14,841.096
0,15,885.777
0,16,786.498
0,17,820.37
0,18,757.016
0,19,806.548
0,20,882.748
0,21,797.21
0,22,730.827
0,23,788.026
0,24,784.553
0,25,817.475
0,26,730.367
0,27,743.561
0,28,780.31
0,29,818.788
0,30,792.262
0,31,858.16
0,32,765.095
0,33,815.84
0,34,895.676
0,35,877.72
0,36,711.113
0,37,855.744
0,38,840.984
0,39,751.466
0,40,782.723
0,41,767.695
0,42,880.796
0,43,830.685
0,44,823.979
0,45,814.517
0,46,744.769
0,47,751.694
0,48,739.246
0,49,779.952
0,50,800.87
0,51,743.696
0,52,794.077
0,53,763.835
0,54,787.357
0,55,728.69
0,56,773.779
0,57,811.271
0,58,701.601
0,59,748.794
0,60,734.359
0,61,872.043
0,62,812.505
0,63,851.827
0,64,736.149
0,65,876.157
0,66,749.649
0,67,700.502
0,68,848.872
0,69,832.367
0,70,731.272
0,71,907.502
0,72,821.194
0,73,783.548
0,74,703.951
0,75,636.819
0,76,818.359
0,77,728.366
0,78,817.268
0,79,703.126
0,80,668.564
0,81,768.358
0,82,790.261
0,83,794.664
0,84,690.722
0,85,807.001
0,86,757.363
0,87,833.959
0,88,712.351
0,89,789.545
0,90,768.993
0,91,846.283
0,92,749.385
0,93,817.856
0,94,821.86
0,95,891.908
0,96,806.194
0,97,870.145
0,98,757.766
0,99,705.103
0,100,751.598
0,101,782.434
0,102,791.966
0,103,789.021
0,104,771.794
0,105,773.122
0,106,738.224
0,107,805.911
0,108,740.773
0,109,700.563
0,110,783.553
0,111,821.108
0,112,762.465
0,113,791.121
0,114,739.075
0,115,907.483
0,116,792.634
0,117,746.002
0,118,795.103
0,119,879.403
0,120,777.676
0,121,759.188
0,122,816.601
0,123,688.78
0,124,719.487
0,125,846.458
0,126,700.916
0,127,747.593
0,128,820.711
0,129,778.256
0,130,792.37
0,131,748.371
0,132,785.617
0,133,866.35
0,134,833.101
0,135,814.277
0,136,734.575
0,137,763.453
0,138,719.259
0,139,693.735
0,140,701.037
0,141,790.454
0,142,815.277
0,143,717.933
0,144,800.789
0,145,787.389
0,146,825.739
0,147,785.207
0,148,886.864
0,149,778.144
1,0,637.775
1,1,641.776
1,2,674.594
1,3,698.726
1,4,697.171
1,5,693.735
1,6,763.276
1,7,677.522
1,8,642.028
1,9,706.804
1,10,658.098
1,11,644.154
1,12,713.316
1,13,661.122
1,14,718.355
1,15,721.143
1,16,663.717
1,17,677.041
1,18,714.03
1,19,676.134
1,20,770.126
1,21,660.966
1,22,702.269
1,23,698.535
1,24,659.143
1,25,684.809
1,26,635.327
1,27,726.042
1,28,688.78
1,29,682.81
1,30,701.956
1,31,700.069
2,0,673.073
2,1,610.108
2,2,673.047
2,3,598.481
2,4,631.548
2,5,677.444
2,6,660.966
2,7,614.27
2,8,659.026
2,9,636.524
