Geração,Iteração,Fitness
0,0,173.489
0,1,174.818
0,2,166.686
0,3,102.65
0,4,173.334
0,5,147.976
0,6,206.25
0,7,141.91
0,8,142.864
0,9,127.616
0,10,128.126
0,11,150.678
0,12,185.419
0,13,177.145
0,14,142.084
0,15,179.86
0,16,122.455
0,17,192.613
0,18,140.66
0,19,159.235
0,20,160.39
0,21,186.222
0,22,145.987
0,23,134.291
0,24,142.383
0,25,172.057
0,26,224.472
0,27,225.546
0,28,122.832
0,29,101.588
0,30,144.677
0,31,169.598
0,32,148.407
0,33,203.349
0,34,117.28
0,35,134.943
0,36,185.718
0,37,183.202
0,38,145.922
0,39,148.691
0,40,157.508
0,41,157.903
0,42,167.472
0,43,140.352
0,44,172.081
0,45,163.416
0,46,139.568
0,47,154.911
0,48,163.364
0,49,157.151
0,50,128.246
0,51,200.525
0,52,154.378
0,53,186.233
0,54,162.525
0,55,176.907
0,56,164.606
0,57,212.067
0,58,169.391
0,59,99.9261
0,60,123.023
0,61,133.519
0,62,191.692
0,63,182.23
0,64,160.671
0,65,169.156
0,66,179.613
0,67,213.436
0,68,121.657
0,69,200.432
0,70,177.186
0,71,169.729
0,72,150.614
0,73,189.091
0,74,130.862
0,75,150.987
0,76,168.545
0,77,179.024
0,78,177.806
0,79,128.354
0,80,136.547
0,81,146.757
0,82,112.734
0,83,165.463
0,84,166.447
0,85,159.481
0,86,165.181
0,87,155.496
0,88,204.748
0,89,152.395
0,90,184.189
0,91,215.011
0,92,181.068
0,93,136.978
0,94,128.898
0,95,138.458
0,96,156.104
0,97,142.013
0,98,166.135
0,99,187.245
0,100,159.923
0,101,173.161
0,102,133.734
0,103,142.246
0,104,149.601
0,105,156.404
0,106,151.286
0,107,171.434
0,108,129.992
0,109,194.79
0,110,193.7
0,111,128.126
0,112,198.304
0,113,148.76
0,114,197.626
0,115,164.253
0,116,193.514
0,117,177.182
0,118,171.973
0,119,157.28
0,120,150.412
0,121,143.682
0,122,161.726
0,123,194.739
0,124,139.89
0,125,177.076
0,126,130.59
0,127,118.606
0,128,195.87
0,129,131.588
0,130,194.79
0,131,118.917
0,132,116.473
0,133,153.455
0,134,176.934
0,135,157.574
0,136,162.953
0,137,193.733
0,138,192.098
0,139,216.478
0,140,79.2947
0,141,170.097
0,142,169.938
0,143,158.591
0,144,192.195
0,145,179.018
0,146,173.8
0,147,160.456
0,148,162.715
0,149,136.769
1,0,79.2947
1,1,112.708
1,2,66.539
1,3,102.65
1,4,116.473
1,5,124.57
1,6,124.475
1,7,118.606
1,8,111.838
1,9,99.6823
1,10,109.757
1,11,92.1606
1,12,115.456
1,13,118.174
1,14,108.401
1,15,127.67
1,16,58.688
1,17,108.249
1,18,110.857
1,19,133.652
1,20,116.473,duplicate,
1,21,126.131
1,22,123.717
1,23,111.466
1,24,139.351
1,25,114.216
1,26,127.836
1,27,80.2898
1,28,141.989
1,29,140.362
1,30,120.043
1,31,140.885
2,0,66.539
2,1,79.2947
2,2,45.0928
2,3,80.2898
2,4,116.838
2,5,102.65
2,6,92.8526
2,7,99.6823
2,8,38.701
2,9,70.8068
2,10,83.5506
2,11,80.2898,duplicate,
2,12,105.593
2,13,99.6823,duplicate,
2,14,35.1977
2,15,83.9665
2,16,66.539,duplicate,
2,17,79.2947,duplicate,
2,18,119.426
2,19,80.2898,duplicate,
2,20,90.0764
2,21,136.822
2,22,99.5784
2,23,47.5071
2,24,66.5856
2,25,65.6844
2,26,133.333
2,27,122.298
2,28,92.1606
2,29,138.059
2,30,111.761
2,31,149.073
3,0,72.7632
3,1,35.2968
3,2,47.5071
3,3,36.4414
3,4,96.0077
3,5,66.539
3,6,66.5856
3,7,0.99855

Generation: 3
Estrutura final encontrada, com diferença de volume = 0.99855
Resultados gravados com sucesso no arquivo 'resultados.txt'.
Tempo de execucao: 113 minutos

