Geração,Iteração,Fitness
0,0,432.51
0,1,658.448
0,2,636.906
0,3,594.464
0,4,591.742
0,5,698.98
0,6,445.943
0,7,542.065
0,8,502.476
0,9,479.024
0,10,527.261
0,11,839.395
0,12,508.854
0,13,603.143
0,14,695.17
0,15,563.097
0,16,415.477
0,17,647.288
0,18,639.366
0,19,526.787
0,20,542.408
0,21,496.716
0,22,629.256
0,23,727.903
0,24,442.171
0,25,598.985
0,26,669.361
0,27,647.645
0,28,610.399
0,29,567.957
0,30,720.298
0,31,535.843
0,32,638.03
0,33,750.003
0,34,663.546
0,35,466.296
0,36,589.562
0,37,888.438
0,38,478.792
0,39,501.492
0,40,608.808
0,41,487.026
0,42,622.75
0,43,580.58
0,44,452.982
0,45,550.187
0,46,675.014
0,47,866.45
0,48,619.036
0,49,746.372
0,50,708.265
0,51,533.655
0,52,768.572
0,53,662.514
0,54,673.383
0,55,760.191
0,56,585.033
0,57,672.183
0,58,693.163
0,59,507.724
0,60,707.415
0,61,783.445
0,62,589.954
0,63,668.693
0,64,758.021
0,65,725.029
0,66,597.017
0,67,575.468
0,68,651.606
0,69,800.734
0,70,561.688
0,71,684.024
0,72,612.363
0,73,532.253
0,74,584.06
0,75,787.8
0,76,649.027
0,77,539.348
0,78,700.224
0,79,632.116
0,80,537.293
0,81,441.283
0,82,667.643
0,83,673.237
0,84,606.976
0,85,753.173
0,86,677.207
0,87,610.399
0,88,631.602
0,89,412.821
0,90,584.187
0,91,561.193
0,92,571.691
0,93,780.894
0,94,543.651
0,95,509.318
0,96,680.342
0,97,508.089
0,98,393.06
0,99,547.895
0,100,720.825
0,101,490.578
0,102,631.549
0,103,576.745
0,104,812.8
0,105,575.9
0,106,579.682
0,107,447.175
0,108,545.607
0,109,541.516
0,110,670.031
0,111,824.938
0,112,491.13
0,113,686.098
0,114,589.124
0,115,641.011
0,116,746.205
0,117,524.583
0,118,455.823
0,119,659.959
0,120,746.373
0,121,526.68
0,122,452.889
0,123,417.046
0,124,690.465
0,125,701.176
0,126,592.221
0,127,753.938
0,128,573.366
0,129,782.578
0,130,478.844
0,131,467.365
0,132,730.349
0,133,671.767
0,134,692.953
0,135,565.604
0,136,521.741
0,137,482.193
0,138,634.171
0,139,447.158
0,140,686.487
0,141,721.261
0,142,628.57
0,143,574.862
0,144,649.455
0,145,537.527
0,146,714.816
0,147,648.732
0,148,581.583
0,149,590.865
1,0,391.197
1,1,336.227
1,2,506.548
1,3,396.067
1,4,432.51
1,5,403.69
1,6,396.474
1,7,415.999
1,8,527.663
1,9,371.532
1,10,470.492
1,11,409.158
1,12,493.158
1,13,338.626
1,14,485.828
1,15,329.374
1,16,362.164
1,17,443.046
1,18,506.06
1,19,671.305
1,20,536.541
1,21,597.854
1,22,449.655
1,23,444.141
1,24,351.091
1,25,395.855
1,26,343.563
1,27,428.047
1,28,473.183
1,29,415.946
1,30,469.532
1,31,506.182
2,0,287.297
2,1,399.59
2,2,343.563
2,3,460.905
2,4,351.091
2,5,369.944
2,6,412.821
2,7,327.553
2,8,298.123
2,9,374.793
2,10,251.431
2,11,364.054
2,12,351.091,duplicate,
2,13,365.759
2,14,412.821,duplicate,
2,15,321.088
2,16,297.851
2,17,369.32
2,18,368.613
2,19,391.225
2,20,452.425
2,21,328.361
2,22,319.724
2,23,310.077
2,24,386.845
2,25,319.846
2,26,330.697
2,27,332.722
2,28,384.652
2,29,418.58
2,30,412.118
2,31,344.805
3,0,255.988
3,1,342.022
3,2,293.483
3,3,306.839
3,4,337.454
3,5,302.314
3,6,306.358
3,7,334.971
3,8,251.431
3,9,309.568
3,10,319.636
3,11,298.123
3,12,268.747
3,13,306.358,duplicate,
3,14,289.884
3,15,379.325
3,16,321.652
3,17,274.631
3,18,306.747
3,19,219.965
3,20,271.777
3,21,388.125
3,22,386.349
3,23,229.345
