Geração,Iteração,Fitness
0,0,454.243
0,1,476.495
0,2,478.452
0,3,317.126
0,4,295.614
0,5,501.703
0,6,540.894
0,7,478.21
0,8,393.904
0,9,376.748
0,10,309.581
0,11,443.968
0,12,316.616
0,13,372.13
0,14,285.135
0,15,401.594
0,16,467.33
0,17,315.384
0,18,372.642
0,19,280.513
0,20,408.478
0,21,205.548
0,22,475.925
0,23,279.094
0,24,450.845
0,25,475.95
0,26,309.386
0,27,393.691
0,28,528.788
0,29,321.111
0,30,345.726
0,31,374.915
0,32,388.63
0,33,492.14
0,34,373.083
0,35,384.83
0,36,476.748
0,37,409.037
0,38,275.847
0,39,454.398
0,40,413.797
0,41,302.109
0,42,309.476
0,43,443.895
0,44,271.046
0,45,410.854
0,46,430.7
0,47,424.093
0,48,432.021
0,49,409.253
0,50,436.362
0,51,205.004
0,52,349.634
0,53,350.793
0,54,472.27
0,55,431.625
0,56,387.293
0,57,384.236
0,58,453.981
0,59,408.815
0,60,484.301
0,61,457.572
0,62,449.911
0,63,338.735
0,64,364.791
0,65,362.631
0,66,340.618
0,67,335.536
0,68,463.449
0,69,346.026
0,70,309.256
0,71,349.288
0,72,324.758
0,73,375.556
0,74,351.402
0,75,289.251
0,76,420.011
0,77,469.05
0,78,434.177
0,79,399.342
0,80,288.669
0,81,104.825
0,82,476.915
0,83,446.159
0,84,493.286
0,85,454.261
0,86,376.435
0,87,418.659
0,88,488.37
0,89,472.922
0,90,465.217
0,91,554.848
0,92,401.439
0,93,374.837
0,94,344.318
0,95,442.51
0,96,358.559
0,97,396.301
0,98,410.853
0,99,409.61
0,100,506.826
0,101,305.121
0,102,397.42
0,103,397.861
0,104,346.227
0,105,418.782
0,106,367.05
0,107,368.292
0,108,231.896
0,109,545.018
0,110,297.159
0,111,414.488
0,112,365.54
0,113,425.314
0,114,300.977
0,115,341.191
0,116,406.707
0,117,342.411
0,118,358.733
0,119,449.889
0,120,467.741
0,121,465.139
0,122,419.278
0,123,471.266
0,124,471.07
0,125,369.094
0,126,420.736
0,127,449.396
0,128,408.494
0,129,474.647
0,130,426.702
0,131,338.993
0,132,376.815
0,133,428.506
0,134,286.97
0,135,305.777
0,136,342.135
0,137,394.546
0,138,349.202
0,139,302.437
0,140,339.727
0,141,476.007
0,142,373.751
0,143,345.227
0,144,404.787
0,145,467.083
0,146,401.097
0,147,543.421
0,148,401.887
0,149,520.727
1,0,164.387
